path,type,bytes_uncompressed,bytes_compressed,modified_local,encrypted,crc32_hex,sha256
2025-9-29/3-57-48-_An_lisis___Integraci_n_.md,file,63487,19729,2025-09-29T13:06:08,False,c4921e42,18250b7b196f40f09cc7684ffd52772b03b4c7793412191758f59df4a0054bb5
2025-9-29/4-58-47-_WsW_mnt_.json,file,103480,11913,2025-09-29T13:06:08,False,e3703fcc,3a11722eba7f5994a67ce2aa7e17399057f01a6a451a54f2dd16d89336a05572
2025-9-29/4-58-47-_WsW_mnt_.md,file,7258,3000,2025-09-29T13:06:08,False,cb264272,437fc61d4bb310f6e2a4283220f518140c9bdc0b684015bb084ba98d0dc8f414
2025-9-29/5-16-29-_WsW_Script_.json,file,33868,9329,2025-09-29T13:06:08,False,2cb77029,e5e0747290c36233ae4993ea510af50f9708fb5d11012ed33624f5e44344d918
2025-9-29/5-16-29-_WsW_Script_.md,file,25427,7545,2025-09-29T13:06:08,False,a3170190,4a687674dad9a79b2a4e79a8019d45abb6b12da8900b6752d7d9caa453881289
2025-9-29/5-22-31-_WsW_Contexto_.json,file,12203,3788,2025-09-29T13:06:06,False,68363921,38795df5010c2337236fc5bec4d81932eaae0e52651a066bfd35eb172573eb5c
2025-9-29/5-22-31-_WsW_Contexto_.md,file,4909,2157,2025-09-29T13:06:06,False,b77341e2,c587ce464489ef990741766cf56d51e6918d49bc828623a69d6806ad8c51aafc
2025-9-29/5-30-5-_PS_Master_XML_Config_.json,file,50757,16510,2025-09-29T13:06:06,False,a3ca47e2,902e00a14c084c08d0864fabeb01a6596452cffc7c19477fc2d9f82eebd57907
2025-9-29/5-30-5-_PS_Master_XML_Config_.md,file,41730,14769,2025-09-29T13:06:06,False,6074c50d,8b8007c74f0fb119efa128330375c964e4313425f00721b6dc85d693ecbdc45b
2025-9-29/5-31-12-_SCRIPT___Invoke_RepoReorg_.json,file,36169,10493,2025-09-29T13:06:06,False,60cb5941,2f54c430b026d956d03e6506d63ad44297edd9e4b056501615e95ca2112ca19f
2025-9-29/5-31-12-_SCRIPT___Invoke_RepoReorg_.md,file,27839,8759,2025-09-29T13:06:06,False,e2250fb6,d89d45a8261a87c3b5dc3f35f50a6f9cea8060b27b4976c206ae8e9f4d05c864
2025-9-29/5-36-5-_SOP_01___An_lisis__01_.json,file,31613,8892,2025-09-29T13:06:06,False,f263ae8a,afaf5897d7a444d3b31302e768b7125c2accdb524501f0af859bc7e2ad1da87b
2025-9-29/5-36-5-_SOP_01___An_lisis__01_.md,file,20553,6809,2025-09-29T13:06:06,False,eac32f01,04e68590fa2126f767ba47e6c276518dc6042ef7a5ca46b8c3669b62b5072022
